5/7/22 12:20:00 PM
Harmonics;1000KVAFIMEED7_20220514_160405_10m_STD.Current harmonics L1 (%);1000KVAFIMEED7_20220514_160405_10m_STD.Current harmonics L2 (%);1000KVAFIMEED7_20220514_160405_10m_STD.Current harmonics L3 (%)
Fundamental;386.698 (A);341.388 (A);323.248 (A)
 2;0.4;0.3;0.6
 3;2.4;1.2;1.2
 4;0.1;0.1;0.2
 5;4.0;1.9;4.7
 6;0.1;0.0;0.1
 7;0.6;2.0;2.3
 8;0.1;0.0;0.0
 9;0.2;1.0;1.2
 10;0.1;0.0;0.0
 11;0.8;0.7;1.2
 12;0.1;0.0;0.0
 13;0.1;0.4;0.4
 14;0.0;0.1;0.1
 15;0.1;0.6;0.5
 16;0.1;0.0;0.1
 17;0.1;0.4;0.3
 18;0.0;0.0;0.0
 19;0.1;0.1;0.2
 20;0.0;0.0;0.0
 21;0.1;0.2;0.2
 22;0.0;0.0;0.0
 23;0.1;0.3;0.2
 24;0.1;0.1;0.0
 25;0.1;0.1;0.1
 26;0.0;0.0;0.0
 27;0.0;0.0;0.0
 28;0.0;0.0;0.0
 29;0.0;0.0;0.0
 30;0.0;0.0;0.0
 31;0.0;0.0;0.0
 32;0.0;0.0;0.0
 33;0.0;0.0;0.0
 34;0.0;0.0;0.0
 35;0.0;0.0;0.0
 36;0.0;0.0;0.0
 37;0.0;0.0;0.0
 38;0.0;0.0;0.0
 39;0.0;0.0;0.0
 40;0.0;0.0;0.0
 41;0.0;0.0;0.0
 42;0.0;0.0;0.0
 43;0.0;0.0;0.0
 44;0.0;0.0;0.0
 45;0.0;0.0;0.0
 46;0.0;0.0;0.0
 47;0.0;0.0;0.0
 48;0.0;0.0;0.0
 49;0.0;0.0;0.0
 50;0.0;0.0;0.0
