7 May 2022 - 14 May 2022
Date/time;1000KVAFIMEED7_20220514_160405_10m_STD.Current L1 (A);1000KVAFIMEED7_20220514_160405_10m_STD.Current L2 (A);1000KVAFIMEED7_20220514_160405_10m_STD.Current L3 (A);1000KVAFIMEED7_20220514_160405_10m_STD.Active power III (kW);1000KVAFIMEED7_20220514_160405_10m_STD.Frequency (Hz);1000KVAFIMEED7_20220514_160405_10m_STD.Inductive power III (kvarL);1000KVAFIMEED7_20220514_160405_10m_STD.Plt L1;1000KVAFIMEED7_20220514_160405_10m_STD.Plt L2;1000KVAFIMEED7_20220514_160405_10m_STD.Plt L3;1000KVAFIMEED7_20220514_160405_10m_STD.Pst  L1;1000KVAFIMEED7_20220514_160405_10m_STD.Pst  L2;1000KVAFIMEED7_20220514_160405_10m_STD.Pst  L3;1000KVAFIMEED7_20220514_160405_10m_STD.Apparent power  III (kVA);1000KVAFIMEED7_20220514_160405_10m_STD.Voltage L12 (V);1000KVAFIMEED7_20220514_160405_10m_STD.Voltage L23 (V);1000KVAFIMEED7_20220514_160405_10m_STD.Voltage L31 (V)
5/7/22 12:20:00 PM;387.004;341.437;323.647;133;59.999;25;;;;0.680;0.730;0.970;136;223.32;223.93;222.79
5/7/22 12:30:00 PM;411.966;371.381;349.453;142;59.995;31;0.544;0.210;0.190;0.190;0.210;0.190;146;223.30;223.91;222.74
5/7/22 12:40:00 PM;387.575;341.243;329.468;134;60.005;26;0.482;0.215;0.218;0.240;0.220;0.240;137;223.68;224.28;223.03
5/7/22 12:50:00 PM;402.057;357.965;338.975;139;60.003;28;0.439;0.200;0.202;0.160;0.160;0.160;142;223.64;224.24;222.91
5/7/22 1:00:00 PM;399.770;360.687;341.304;139;59.997;28;0.409;0.190;0.192;0.150;0.150;0.150;142;223.27;223.98;222.72
5/7/22 1:10:00 PM;375.761;349.993;320.154;132;59.987;26;0.388;0.192;0.193;0.190;0.200;0.200;135;223.35;224.14;222.78
5/7/22 1:20:00 PM;366.424;346.104;306.572;128;60.006;24;0.370;0.192;0.193;0.180;0.190;0.190;131;222.85;223.70;222.36
5/7/22 1:30:00 PM;399.199;362.243;323.259;137;60.000;26;0.355;0.187;0.189;0.150;0.150;0.160;140;223.72;224.55;223.06
5/7/22 1:40:00 PM;380.525;363.409;302.497;132;59.996;24;0.343;0.186;0.188;0.170;0.180;0.180;135;223.34;224.41;222.84
5/7/22 1:50:00 PM;398.437;358.548;313.557;135;60.003;25;0.334;0.188;0.190;0.200;0.200;0.210;138;223.20;224.14;222.60
5/7/22 2:00:00 PM;409.679;373.326;324.035;139;59.995;27;0.325;0.188;0.191;0.190;0.190;0.200;142;222.92;223.89;222.23
5/7/22 2:10:00 PM;359.755;333.076;290.661;125;60.010;21;0.317;0.186;0.189;0.160;0.160;0.160;127;223.99;224.98;223.25
