14 May 2022 - 21 May 2022
Date/time;500KVApCIDETpFIME_20220521_163645_10m_STD.Current L1 (A);500KVApCIDETpFIME_20220521_163645_10m_STD.Current L2 (A);500KVApCIDETpFIME_20220521_163645_10m_STD.Current L3 (A);500KVApCIDETpFIME_20220521_163645_10m_STD.Active power L1 (kW);500KVApCIDETpFIME_20220521_163645_10m_STD.Active power L2 (kW);500KVApCIDETpFIME_20220521_163645_10m_STD.Active power L3 (kW);500KVApCIDETpFIME_20220521_163645_10m_STD.Frequency (Hz);500KVApCIDETpFIME_20220521_163645_10m_STD.Inductive power L1 (kvarL);500KVApCIDETpFIME_20220521_163645_10m_STD.Inductive power L2 (kvarL);500KVApCIDETpFIME_20220521_163645_10m_STD.Inductive power L3 (kvarL);500KVApCIDETpFIME_20220521_163645_10m_STD.Plt L1;500KVApCIDETpFIME_20220521_163645_10m_STD.Plt L2;500KVApCIDETpFIME_20220521_163645_10m_STD.Plt L3;500KVApCIDETpFIME_20220521_163645_10m_STD.Pst  L1;500KVApCIDETpFIME_20220521_163645_10m_STD.Pst  L2;500KVApCIDETpFIME_20220521_163645_10m_STD.Pst  L3;500KVApCIDETpFIME_20220521_163645_10m_STD.Apparent power  L1 (kVA);500KVApCIDETpFIME_20220521_163645_10m_STD.Apparent power  L2 (kVA);500KVApCIDETpFIME_20220521_163645_10m_STD.Apparent power  L3 (kVA);500KVApCIDETpFIME_20220521_163645_10m_STD.Voltage L12 (V);500KVApCIDETpFIME_20220521_163645_10m_STD.Voltage L23 (V);500KVApCIDETpFIME_20220521_163645_10m_STD.Voltage L31 (V)
5/14/22 12:10:00 PM;82.316;54.832;78.195;10;6;9;59.994;4;1;1;;;;1.580;5.900;5.890;10;7;10;219.08;219.18;218.80
5/14/22 12:20:00 PM;80.411;47.054;76.837;10;6;9;60.001;2;2;0;1.254;5.610;0.140;0.150;5.610;0.140;10;6;10;220.37;221.48;221.01
5/14/22 12:30:00 PM;74.885;36.554;81.881;9;5;10;59.992;3;1;1;1.097;4.453;0.162;0.200;0.190;0.180;10;5;10;221.00;222.18;221.15
5/14/22 12:40:00 PM;90.701;59.304;105.554;11;7;13;59.994;3;1;2;0.997;3.890;0.186;0.200;0.200;0.220;12;8;13;220.11;221.20;220.23
5/14/22 12:50:00 PM;83.460;62.998;98.762;10;8;13;60.007;3;1;0;0.926;3.534;0.199;0.220;0.190;0.230;11;8;13;220.29;221.30;220.32
5/14/22 1:00:00 PM;85.937;57.360;109.240;10;7;14;60.030;4;0;0;0.872;3.281;0.194;0.170;0.180;0.170;11;7;14;220.60;221.72;220.58
5/14/22 1:10:00 PM;86.890;68.637;98.180;11;9;12;60.005;2;2;0;0.829;3.088;0.197;0.210;0.220;0.210;11;9;13;220.04;221.04;220.11
5/14/22 1:20:00 PM;83.650;62.415;104.971;10;8;13;60.024;3;1;0;0.793;2.933;0.197;0.200;0.190;0.200;11;8;13;220.77;221.99;220.91
5/14/22 1:30:00 PM;90.129;66.304;107.688;11;8;14;60.012;4;1;0;0.763;2.805;0.193;0.160;0.160;0.160;11;8;14;220.93;222.21;221.15
5/14/22 1:40:00 PM;83.650;66.693;97.210;10;8;12;59.998;2;1;0;0.738;2.697;0.197;0.240;0.210;0.220;11;9;12;220.11;221.33;220.39
