14 May 2022 - 21 May 2022
Date/time;500KVApCIDETpFIME_20220521_163645_10m_STD.Current L1 (A);500KVApCIDETpFIME_20220521_163645_10m_STD.Current L2 (A);500KVApCIDETpFIME_20220521_163645_10m_STD.Current L3 (A);500KVApCIDETpFIME_20220521_163645_10m_STD.Active power III (kW);500KVApCIDETpFIME_20220521_163645_10m_STD.Frequency (Hz);500KVApCIDETpFIME_20220521_163645_10m_STD.Inductive power III (kvarL);500KVApCIDETpFIME_20220521_163645_10m_STD.Plt L1;500KVApCIDETpFIME_20220521_163645_10m_STD.Plt L2;500KVApCIDETpFIME_20220521_163645_10m_STD.Plt L3;500KVApCIDETpFIME_20220521_163645_10m_STD.Pst  L1;500KVApCIDETpFIME_20220521_163645_10m_STD.Pst  L2;500KVApCIDETpFIME_20220521_163645_10m_STD.Pst  L3;500KVApCIDETpFIME_20220521_163645_10m_STD.Apparent power  III (kVA);500KVApCIDETpFIME_20220521_163645_10m_STD.Voltage L12 (V);500KVApCIDETpFIME_20220521_163645_10m_STD.Voltage L23 (V);500KVApCIDETpFIME_20220521_163645_10m_STD.Voltage L31 (V)
5/14/22 12:10:00 PM;82.316;54.832;78.195;25;59.994;6;;;;1.580;5.900;5.890;27;219.08;219.18;218.80
5/14/22 12:20:00 PM;80.411;47.054;76.837;25;60.001;4;1.254;5.610;0.140;0.150;5.610;0.140;26;220.37;221.48;221.01
5/14/22 12:30:00 PM;74.885;36.554;81.881;24;59.992;6;1.097;4.453;0.162;0.200;0.190;0.180;25;221.00;222.18;221.15
5/14/22 12:40:00 PM;90.701;59.304;105.554;32;59.994;6;0.997;3.890;0.186;0.200;0.200;0.220;33;220.11;221.20;220.23
5/14/22 12:50:00 PM;83.460;62.998;98.762;31;60.007;4;0.926;3.534;0.199;0.220;0.190;0.230;31;220.29;221.30;220.32
5/14/22 1:00:00 PM;85.937;57.360;109.240;32;60.030;4;0.872;3.281;0.194;0.170;0.180;0.170;32;220.60;221.72;220.58
5/14/22 1:10:00 PM;86.890;68.637;98.180;32;60.005;4;0.829;3.088;0.197;0.210;0.220;0.210;32;220.04;221.04;220.11
5/14/22 1:20:00 PM;83.650;62.415;104.971;31;60.024;5;0.793;2.933;0.197;0.200;0.190;0.200;32;220.77;221.99;220.91
5/14/22 1:30:00 PM;90.129;66.304;107.688;33;60.012;5;0.763;2.805;0.193;0.160;0.160;0.160;34;220.93;222.21;221.15
5/14/22 1:40:00 PM;83.650;66.693;97.210;31;59.998;4;0.738;2.697;0.197;0.240;0.210;0.220;32;220.11;221.33;220.39
5/14/22 1:50:00 PM;86.318;57.554;102.837;31;59.991;5;0.715;2.604;0.195;0.180;0.170;0.180;31;220.24;221.57;220.48
5/14/22 2:00:00 PM;94.893;47.443;91.971;29;60.026;5;0.695;2.523;0.194;0.180;0.180;0.180;30;220.61;222.10;221.05
5/14/22 2:10:00 PM;70.884;39.277;73.926;23;60.006;3;0.196;2.451;0.195;0.200;0.210;0.210;23;220.35;221.71;220.70
5/14/22 2:20:00 PM;87.080;44.138;89.643;27;59.994;7;0.197;0.191;0.197;0.180;0.170;0.170;28;220.36;221.85;220.82
5/14/22 2:30:00 PM;92.225;46.471;91.583;28;59.991;5;0.197;0.193;0.199;0.190;0.210;0.210;29;220.24;221.78;220.66
5/14/22 2:40:00 PM;86.127;34.804;91.195;26;60.018;5;0.197;0.190;0.196;0.200;0.170;0.190;27;220.93;222.56;221.33
5/14/22 2:50:00 PM;91.653;47.637;85.762;28;59.998;5;0.194;0.190;0.193;0.190;0.190;0.190;29;220.80;222.35;221.29
5/14/22 3:00:00 PM;71.455;37.915;75.090;23;59.993;4;0.194;0.189;0.193;0.180;0.160;0.170;24;220.19;221.69;220.70
5/14/22 3:10:00 PM;94.702;49.776;93.523;29;59.996;6;0.191;0.186;0.189;0.160;0.190;0.160;30;219.85;221.51;220.41
5/14/22 3:20:00 PM;87.842;49.582;87.702;27;59.991;5;0.190;0.187;0.188;0.190;0.200;0.190;29;220.10;221.71;220.70
5/14/22 3:30:00 PM;75.647;41.999;80.329;24;59.998;5;0.194;0.191;0.192;0.210;0.210;0.210;25;220.13;221.72;220.71
5/14/22 3:40:00 PM;96.417;49.193;94.106;30;59.992;5;0.187;0.188;0.188;0.170;0.180;0.180;31;219.96;221.70;220.67
5/14/22 3:50:00 PM;77.743;37.721;81.881;24;60.017;4;0.184;0.186;0.185;0.140;0.140;0.130;25;220.01;221.63;220.67
5/14/22 4:00:00 PM;90.701;47.443;84.404;27;60.004;5;0.186;0.188;0.189;0.200;0.200;0.220;28;220.11;221.79;220.81
5/14/22 4:10:00 PM;91.082;42.582;93.523;28;59.991;6;0.184;0.185;0.186;0.170;0.170;0.170;29;220.04;221.80;220.78
5/14/22 4:20:00 PM;80.792;47.832;76.643;25;59.996;5;0.184;0.186;0.187;0.190;0.190;0.190;26;219.94;221.61;220.69
5/14/22 4:30:00 PM;94.702;46.082;93.717;29;60.009;5;0.181;0.181;0.182;0.140;0.140;0.150;30;219.72;221.49;220.45
5/14/22 4:40:00 PM;75.076;38.888;78.389;24;60.000;3;0.179;0.184;0.182;0.180;0.200;0.190;24;219.63;221.25;220.23
5/14/22 4:50:00 PM;95.845;48.026;91.583;29;59.995;6;0.178;0.183;0.181;0.180;0.180;0.170;30;219.84;221.67;220.54
5/14/22 5:00:00 PM;81.745;37.332;87.508;25;60.007;4;0.181;0.185;0.183;0.210;0.190;0.200;26;219.73;221.50;220.29
5/14/22 5:10:00 PM;91.463;52.304;85.374;28;60.013;6;0.182;0.184;0.183;0.170;0.180;0.160;29;220.24;222.00;220.92
5/14/22 5:20:00 PM;78.124;43.554;80.523;25;59.994;4;0.178;0.180;0.179;0.130;0.140;0.130;26;220.11;221.85;220.77
5/14/22 5:30:00 PM;71.646;45.304;67.911;23;60.002;3;0.174;0.176;0.175;0.170;0.170;0.170;24;220.68;222.36;221.28
5/14/22 5:40:00 PM;72.599;43.360;66.941;23;59.999;3;0.179;0.183;0.184;0.220;0.240;0.250;23;220.23;221.92;220.91
5/14/22 5:50:00 PM;66.692;39.665;65.777;21;60.015;2;0.183;0.186;0.188;0.190;0.190;0.190;22;220.49;222.14;221.20
5/14/22 6:00:00 PM;76.600;50.749;65.388;24;60.004;3;0.181;0.186;0.185;0.180;0.200;0.190;25;220.57;222.30;221.42
5/14/22 6:10:00 PM;64.405;36.749;64.807;21;60.023;2;0.181;0.187;0.185;0.180;0.180;0.180;21;220.93;222.69;221.71
5/14/22 6:20:00 PM;76.219;47.054;65.001;23;60.003;3;0.179;0.185;0.184;0.160;0.170;0.170;24;220.79;222.58;221.70
5/14/22 6:30:00 PM;68.216;41.804;65.777;22;60.011;2;0.184;0.190;0.188;0.200;0.210;0.210;22;220.60;222.31;221.48
5/14/22 6:40:00 PM;72.408;47.637;65.388;23;60.012;3;0.182;0.189;0.187;0.160;0.180;0.170;24;221.04;222.82;221.89
5/14/22 6:50:00 PM;72.980;48.804;65.195;23;59.998;3;0.186;0.194;0.195;0.220;0.230;0.250;24;220.69;222.47;221.57
5/14/22 7:00:00 PM;66.120;44.138;64.613;22;60.000;3;0.182;0.192;0.192;0.160;0.160;0.160;22;220.88;222.60;221.61
5/14/22 7:10:00 PM;76.028;51.137;65.195;24;59.994;3;0.181;0.190;0.192;0.150;0.150;0.150;25;221.48;223.17;222.26
5/14/22 7:20:00 PM;64.595;35.777;64.418;21;59.997;2;0.185;0.194;0.196;0.200;0.200;0.200;21;220.93;222.67;221.63
5/14/22 7:30:00 PM;77.934;49.193;64.418;24;60.001;3;0.190;0.201;0.202;0.220;0.250;0.240;25;221.18;222.85;221.95
5/14/22 7:40:00 PM;68.025;40.054;64.613;22;60.008;3;0.184;0.194;0.195;0.140;0.150;0.170;22;221.28;222.96;221.91
5/14/22 7:50:00 PM;70.884;47.637;64.224;23;60.042;3;0.182;0.195;0.193;0.170;0.200;0.170;23;221.91;223.71;222.66
5/14/22 8:00:00 PM;69.740;47.637;64.224;23;60.010;3;0.179;0.191;0.190;0.140;0.140;0.140;23;221.65;223.43;222.38
5/14/22 8:10:00 PM;64.595;41.221;63.836;21;59.993;3;0.183;0.195;0.195;0.220;0.230;0.230;22;221.25;223.15;222.03
5/14/22 8:20:00 PM;74.504;46.860;64.224;23;59.979;3;0.185;0.197;0.195;0.180;0.190;0.180;24;220.97;222.80;221.82
5/14/22 8:30:00 PM;61.928;34.999;64.030;20;60.007;2;0.182;0.194;0.192;0.160;0.180;0.160;21;222.20;224.18;222.89
5/14/22 8:40:00 PM;75.266;46.860;67.717;24;60.009;3;0.183;0.195;0.192;0.180;0.190;0.180;24;222.29;224.31;223.08
5/14/22 8:50:00 PM;70.312;43.749;67.911;23;59.994;3;0.184;0.195;0.190;0.230;0.230;0.230;23;222.21;224.25;223.05
